,cell_type_encoded,sm_name_encoded
0,2,39
1,3,39
2,4,39
3,5,39
4,2,84
5,3,84
6,4,84
7,5,84
8,0,67
9,1,67
10,2,67
11,3,67
12,4,67
13,5,67
14,2,141
15,3,141
16,4,141
17,5,141
18,2,25
19,3,25
20,4,25
21,5,25
22,2,35
23,3,35
24,4,35
25,5,35
26,2,75
27,3,75
28,4,75
29,5,75
30,0,42
31,1,42
32,2,42
33,3,42
34,4,42
35,5,42
36,2,33
37,3,33
38,4,33
39,5,33
40,2,53
41,3,53
42,4,53
43,5,53
44,2,45
45,3,45
46,4,45
47,5,45
48,2,124
49,3,124
50,4,124
51,5,124
52,2,139
53,3,139
54,4,139
55,5,139
56,2,1
57,3,1
58,4,1
59,5,1
60,2,92
61,3,92
62,4,92
63,5,92
64,2,144
65,3,144
66,4,144
67,5,144
68,2,113
69,3,113
70,4,113
71,5,113
72,0,77
73,1,77
74,2,77
75,3,77
76,4,77
77,5,77
78,2,76
79,3,76
80,4,76
81,5,76
82,2,34
83,3,34
84,4,34
85,5,34
86,2,49
87,3,49
88,4,49
89,5,49
90,2,143
91,3,143
92,4,143
93,5,143
94,0,97
95,1,97
96,2,97
97,3,97
98,4,97
99,5,97
100,2,115
101,3,115
102,4,115
103,5,115
104,0,43
105,1,43
106,2,43
107,3,43
108,4,43
109,5,43
110,2,105
111,3,105
112,4,105
113,5,105
114,2,66
115,3,66
116,4,66
117,5,66
118,2,70
119,3,70
120,4,70
121,5,70
122,2,28
123,3,28
124,4,28
125,5,28
126,2,110
127,3,110
128,4,110
129,5,110
130,2,79
131,3,79
132,4,79
133,5,79
134,2,114
135,3,114
136,5,114
137,2,65
138,3,65
139,4,65
140,5,65
141,0,12
142,1,12
143,2,12
144,3,12
145,5,12
146,2,74
147,3,74
148,4,74
149,5,74
150,2,82
151,3,82
152,4,82
153,5,82
154,0,73
155,1,73
156,2,73
157,3,73
158,4,73
159,5,73
160,2,132
161,3,132
162,4,132
163,5,132
164,2,40
165,3,40
166,4,40
167,5,40
168,0,108
169,1,108
170,2,108
171,3,108
172,4,108
173,5,108
174,2,129
175,3,129
176,4,129
177,5,129
178,2,20
179,3,20
180,4,20
181,5,20
182,2,31
183,3,31
184,5,31
185,2,128
186,3,128
187,4,128
188,5,128
189,2,93
190,3,93
191,4,93
192,5,93
193,2,69
194,3,69
195,4,69
196,5,69
197,2,57
198,3,57
199,4,57
200,5,57
201,2,81
202,3,81
203,4,81
204,5,81
205,2,122
206,3,122
207,4,122
208,5,122
209,2,27
210,3,27
211,4,27
212,5,27
213,2,46
214,3,46
215,4,46
216,5,46
217,2,72
218,3,72
219,4,72
220,5,72
221,2,62
222,3,62
223,4,62
224,5,62
225,2,16
226,3,16
227,4,16
228,5,16
229,2,86
230,3,86
231,4,86
232,5,86
233,0,103
234,1,103
235,2,103
236,3,103
237,4,103
238,5,103
239,2,59
240,3,59
241,4,59
242,5,59
243,2,104
244,3,104
245,4,104
246,5,104
247,2,133
248,3,133
249,4,133
250,5,133
251,2,138
252,3,138
253,4,138
254,5,138
255,2,58
256,3,58
257,4,58
258,5,58
259,2,78
260,3,78
261,4,78
262,5,78
263,2,8
264,3,8
265,4,8
266,5,8
267,2,111
268,3,111
269,4,111
270,5,111
271,2,13
272,3,13
273,4,13
274,5,13
275,0,24
276,1,24
277,2,24
278,3,24
279,4,24
280,5,24
281,2,112
282,3,112
283,4,112
284,5,112
285,2,56
286,3,56
287,4,56
288,5,56
289,2,123
290,3,123
291,4,123
292,5,123
293,2,61
294,3,61
295,4,61
296,5,61
297,2,118
298,3,118
299,4,118
300,5,118
301,2,6
302,3,6
303,4,6
304,5,6
305,2,22
306,3,22
307,4,22
308,5,22
309,2,10
310,3,10
311,4,10
312,5,10
313,0,54
314,1,54
315,2,54
316,3,54
317,4,54
318,5,54
319,2,136
320,3,136
321,4,136
322,5,136
323,2,107
324,3,107
325,4,107
326,5,107
327,2,64
328,3,64
329,4,64
330,5,64
331,2,140
332,3,140
333,4,140
334,5,140
335,2,36
336,3,36
337,4,36
338,5,36
339,2,135
340,3,135
341,4,135
342,5,135
343,2,29
344,3,29
345,4,29
346,5,29
347,2,130
348,3,130
349,4,130
350,5,130
351,2,7
352,3,7
353,4,7
354,5,7
355,2,90
356,3,90
357,4,90
358,5,90
359,2,9
360,3,9
361,4,9
362,5,9
363,2,142
364,3,142
365,4,142
366,5,142
367,2,94
368,3,94
369,4,94
370,5,94
371,0,80
372,1,80
373,2,80
374,3,80
375,4,80
376,5,80
377,2,50
378,3,50
379,4,50
380,5,50
381,2,71
382,3,71
383,4,71
384,5,71
385,2,83
386,3,83
387,4,83
388,5,83
389,2,63
390,3,63
391,4,63
392,5,63
393,2,121
394,3,121
395,4,121
396,5,121
397,2,96
398,3,96
399,4,96
400,5,96
401,2,4
402,3,4
403,4,4
404,5,4
405,2,126
406,3,126
407,4,126
408,5,126
409,0,98
410,1,98
411,2,98
412,3,98
413,4,98
414,5,98
415,2,21
416,3,21
417,4,21
418,5,21
419,2,99
420,3,99
421,4,99
422,5,99
423,2,18
424,3,18
425,4,18
426,5,18
427,2,52
428,3,52
429,4,52
430,5,52
431,2,85
432,3,85
433,4,85
434,5,85
435,2,51
436,3,51
437,4,51
438,5,51
439,2,102
440,3,102
441,4,102
442,5,102
443,2,41
444,3,41
445,4,41
446,5,41
447,2,100
448,3,100
449,4,100
450,5,100
451,2,106
452,3,106
453,4,106
454,5,106
455,2,26
456,3,26
457,4,26
458,5,26
459,2,38
460,3,38
461,4,38
462,5,38
463,2,11
464,3,11
465,4,11
466,5,11
467,2,87
468,3,87
469,4,87
470,5,87
471,2,2
472,3,2
473,4,2
474,5,2
475,0,44
476,1,44
477,2,44
478,3,44
479,4,44
480,5,44
481,2,88
482,3,88
483,4,88
484,5,88
485,2,47
486,3,47
487,4,47
488,5,47
489,2,95
490,3,95
491,4,95
492,5,95
493,2,55
494,3,55
495,4,55
496,5,55
497,2,125
498,3,125
499,4,125
500,5,125
501,2,23
502,3,23
503,4,23
504,5,23
505,2,119
506,3,119
507,4,119
508,5,119
509,2,117
510,3,117
511,4,117
512,5,117
513,2,17
514,3,17
515,4,17
516,5,17
517,0,89
518,1,89
519,2,89
520,3,89
521,4,89
522,5,89
523,2,145
524,3,145
525,4,145
526,5,145
527,2,60
528,3,60
529,4,60
530,5,60
531,2,120
532,3,120
533,4,120
534,5,120
535,0,91
536,1,91
537,2,91
538,3,91
539,5,91
540,2,48
541,3,48
542,4,48
543,5,48
544,2,101
545,3,101
546,4,101
547,5,101
548,2,131
549,3,131
550,4,131
551,5,131
552,2,5
553,3,5
554,4,5
555,5,5
556,0,32
557,1,32
558,2,32
559,3,32
560,4,32
561,5,32
562,2,109
563,3,109
564,4,109
565,5,109
566,2,3
567,3,3
568,4,3
569,5,3
570,2,19
571,3,19
572,4,19
573,5,19
574,2,134
575,3,134
576,4,134
577,5,134
578,2,68
579,3,68
580,4,68
581,5,68
582,2,137
583,3,137
584,4,137
585,5,137
586,2,37
587,3,37
588,4,37
589,5,37
590,2,0
591,3,0
592,4,0
593,5,0
594,2,30
595,3,30
596,4,30
597,5,30
598,2,127
599,3,127
600,4,127
601,5,127
602,2,15
603,3,15
604,4,15
605,5,15
606,2,14
607,3,14
608,4,14
609,5,14
610,2,116
611,3,116
612,4,116
613,5,116
